id;logradouro;cep;numero;bairro
1;surcharge near upbeat;personal;submit;rectangle abaft
2;snowboarding;weakly pair;sample;gosh body
3;grubby ha as;whether;boldly knowledgeably trivial;among
4;specific kind beetle;beating concerning;monstrous coolly;aha
5;phooey;rightfully;ill-fated serious;interestingly before shed
6;during fantastic carefree;offbeat jettison onto;ick an;exactly doorstep
7;pro arraign whether;above interestingly perfectly;save likelihood;although provided
8;dearest accentuate;voluntarily to outsource;xylophone rudely metallic;frame woefully loafer
9;forestry thin;tunic boo;given leading christen;plunder
10;ground questionably;skeletal inside toward;supposing industrialize most;whereas spay
