id;nome_item;create_date;updated_date
1;finally weatherise;2024-11-03T19:00:14;2024-11-03T22:29:02
2;when;2024-11-04T06:26:48;2024-11-04T06:01:36
3;reversal;2024-11-04T10:23:15;2024-11-03T13:54:52
4;zowie repulsive;2024-11-04T10:57:44;2024-11-04T03:18:51
5;since throughout;2024-11-04T07:05:12;2024-11-04T09:04:56
6;deal;2024-11-04T07:59:34;2024-11-04T04:40:17
7;alongside toward story-telling;2024-11-03T14:36:01;2024-11-04T06:09:17
8;piddle boring;2024-11-03T22:22:27;2024-11-04T09:49:44
9;furthermore behind;2024-11-03T19:11:49;2024-11-04T07:49:29
10;vaguely crewmember;2024-11-04T11:13:35;2024-11-04T05:40:07
