id;create_dade;quant_atual;quant_anterior;update_date
1;2024-11-03T20:42:31;31311;7582;2024-11-04T00:17:49
2;2024-11-04T01:28:39;4603;16570;2024-11-04T06:40:26
3;2024-11-03T19:41:16;26136;30363;2024-11-03T14:33:25
4;2024-11-04T00:33:45;872;25904;2024-11-03T19:21:20
5;2024-11-04T04:25:18;29609;1915;2024-11-04T11:08:44
6;2024-11-04T09:09:02;24243;15305;2024-11-03T23:08:38
7;2024-11-04T05:24:38;12771;2782;2024-11-04T08:49:21
8;2024-11-04T03:18:54;25697;11184;2024-11-03T13:57:31
9;2024-11-04T05:50:18;8768;8208;2024-11-03T17:55:58
10;2024-11-04T10:58:48;10399;10561;2024-11-04T09:41:36
