id;prazo_date;finish_date;aberta;descricao;observacao;prioridade;titulo;tipo_solicitacao
1;2024-12-06T00:39:14;2024-12-05T21:35:20;true;relay greatly southeast;plain;11897;geez tender brisk;sharpen basin
2;2024-12-05T22:07:21;2024-12-06T06:01:03;true;wherever;tempting retreat;13566;concerning hmph thin;temp briefly instead
3;2024-12-06T03:12:34;2024-12-05T16:14:50;false;sensationalise;weak pish;31158;about;violently beside strictly
4;2024-12-05T14:53:08;2024-12-05T21:07:44;true;unknown;expedite lane;19026;reluctantly;sterilize but for
5;2024-12-05T14:58:57;2024-12-06T10:21:10;false;coaxingly psst across;pence atop;3315;er misdiagnose;greatly
6;2024-12-05T23:02:39;2024-12-06T08:00:33;false;er;gah imperfect;25396;quaintly;relay needily
7;2024-12-06T00:03:28;2024-12-05T15:12:30;true;roster jealously;zowie bitterly;5501;uncoil stimulation;swiftly
8;2024-12-06T00:42:31;2024-12-05T14:55:04;true;pish provided whether;madly upbeat;9714;worth;even juicy
9;2024-12-06T01:45:54;2024-12-06T02:35:38;true;as formation;tax meh large;27086;heating excluding;guilty
10;2024-12-05T19:00:32;2024-12-06T05:23:00;false;impoverish whenever;sleeping though;3517;academic perish;cave ugh
